window,p_rel_none,p_rel_ind,p_rel_burst,failure_state_burst,lat_none_ms,lat_ind_ms,lat_burst_ms,risk_none,risk_ind,risk_burst,sla_viol_none,sla_viol_ind,sla_viol_burst
15,1.0,0.9589,0.9404,0,2174.3,2057.8,2124.3,0.0,0.0411,0.0596,0.0,0.0,0.0
16,1.0,0.9409,0.9205,0,2161.1,2115.0,2004.2,0.0,0.0591,0.0795,0.0,0.0,0.0
17,1.0,0.9493,0.9267,0,2145.8,2113.7,2080.6,0.0,0.0507,0.0733,0.0,0.0,0.0
18,1.0,0.9807,0.9358,0,2098.9,2263.6,2066.4,0.0,0.0193,0.0642,0.0,0.0,0.0
19,1.0,0.9412,0.9397,0,1919.2,2026.3,2231.5,0.0,0.0588,0.0603,0.0,0.0,0.0
20,1.0,0.955,0.9341,0,1956.7,2237.0,1946.9,0.0,0.045,0.0659,0.0,0.0,0.0
21,1.0,0.9893,0.9173,0,2082.7,2024.2,2143.2,0.0,0.0107,0.0827,0.0,0.0,0.0
22,1.0,0.9442,0.9304,0,2211.3,2021.0,2048.3,0.0,0.0558,0.0696,0.0,0.0,0.0
23,1.0,0.985,0.9542,0,2037.3,2153.5,2081.9,0.0,0.015,0.0458,0.0,0.0,0.0
24,1.0,0.9851,0.9561,0,2157.6,2065.7,2190.4,0.0,0.0149,0.0439,0.0,0.0,0.0
25,1.0,0.9355,0.9512,0,2143.7,1942.6,2116.6,0.0,0.0645,0.0488,0.0,0.0,0.0
26,1.0,0.9578,0.9273,0,2149.3,2121.9,2070.6,0.0,0.0422,0.0727,0.0,0.0,0.0
27,1.0,0.9601,0.9395,0,2162.7,2278.7,2144.7,0.0,0.0399,0.0605,0.0,0.0,0.0
28,1.0,0.9488,0.9326,0,2210.7,2062.7,2030.3,0.0,0.0512,0.0674,0.0,0.0,0.0
29,1.0,0.9328,0.9549,0,2033.4,2104.5,2049.5,0.0,0.0672,0.0451,0.0,0.0,0.0
30,1.0,0.9445,0.9439,0,2007.5,2149.6,2097.6,0.0,0.0555,0.0561,0.0,0.0,0.0
31,1.0,0.9357,0.9579,0,2153.0,2081.8,2139.8,0.0,0.0643,0.0421,0.0,0.0,0.0
32,1.0,0.9443,0.9468,0,2163.1,2016.1,2098.3,0.0,0.0557,0.0532,0.0,0.0,0.0
33,1.0,0.9785,0.9478,0,2074.4,2150.3,2011.2,0.0,0.0215,0.0522,0.0,0.0,0.0
34,1.0,0.9837,0.94,0,2048.1,2069.7,2024.6,0.0,0.0163,0.06,0.0,0.0,0.0
